place_id,name,description,reviews,rating,website,phone,owner_name,featured_image,main_category,,address,state,
ChIJd95PqgUyUkYRLd3eNZUhsN4,Lekparken,,6,4.2,,,Lekparken (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=v8Eh7VM8yYKTjdWvFGk15Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=112.81974&pitch=0&thumbfov=100,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Engelska gangen 19,Helsingborg,
ChIJXypRvt6aZEYR-34wiX1IUQI,Lekparken,,6,4.2,,,Lekparken (agare),https://lh3.ggpht.com/p/AC9h4noGzBr-3vA879WsOxzNB5F0zymmSvAmNldadPiDAaEZGQ-5ga5dIWiXDG3mHpy49DnLELIukNctW6O5BxDuiEZpQq1li9dr9mkEWYRQByfAWZrcCn0U5A2xizyCJeOyoTaW7nsm=s1024,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",VARVET,Lidkoping,
ChIJjXA-AwCLXEYR6RbjyApGKMw,Lekparken,,1,5,,,Lekparken (agare),https://lh3.ggpht.com/p/AC9h4noDPSSDMS8D81kzux957qeyIddswunXrz8r9jUTC8J3na2ygL2KKrTyxCmvXDibPscqIH5isyTscb7LZNdQO48hxCdQ8RZxecg2wtQ6ur7P89ywRhRS8n0e4FD5c_OBaYdRpqpX6g=s1024,Park,Open All Days,Bergsmansgatan 27,Karlskoga,
ChIJHVwWluBnXkYRmEB975TahLc,Lekparken,,22,4.4,,,Lekparken (agare),https://lh3.ggpht.com/p/AC9h4nr3qEV-_T87BbzzyZHPHKZguM6cQ0Co_L6neOj9cw2jOsp2aSKGXRnVlgBvvE7vBjm2k0VLvycnhPTVz-j9w3WgyYd14SwhVJtTrvH0AgxGMAuA33EWzCkvl3vjBKdPRns01sOC=s1024,Lekplats,Open All Days,Radhusvagen 12,Vasteras,
ChIJB7Z2BIVvXkYRY8cwx88TFHk,Lekparken,,2,4.5,,,Lekparken (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tAwB0Kish8tPGFcQE6U-zA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=194.31029&pitch=0&thumbfov=100,Lekplats,Open All Days,Sjobovagen 17,Vasteras,
ChIJQUZDv4Z3X0YRZ0kCmg8W3oQ,Lekparken Apelsinen,,56,4.6,https://parker.stockholm/hitta-lekplatser-parklekar-plaskdammar/lekplats/apelsinens-lekplats/,,Lekparken Apelsinen (agare),https://lh3.ggpht.com/p/AC9h4nrMz5SR1GmnqFwzgUpkw-wgbDme-VlgdU-StYca1Djn4BY9X1jXMvTL6_wehJ0vQPXAa3dLGhbDV-ESKL2EyhvAzOPmupFipwK9aTRf5azoNXSpOoHN6SyMWnj1SUUZnWjZMCi3=s1024,Lekplats,Open All Days,Sandalmakarbacken 9,Hagersten,
ChIJJRvPgO15X0YRhqpsGgAGDFk,Lekparken dalgardet,,0,0,,,Lekparken dalgardet (agare),https://lh3.ggpht.com/p/AC9h4nq0HrCaCxOuUtufllZL7sQMukCi6cZM0UOpuqQ8GyMRWfEZyHks3EMy6K91loAITlpkT-oZES8GSCOPLtXbNlrxcEWGHQequ32CPBgE-9D85CRp46kg6BXjLpNC6bD67_HDm5-1sg=s1024,Lekplats,Open All Days,Magnebergsvagen 34,Enskededalen,
ChIJZUXS9CObX0YRE31g4uak0oo,Lekparken vid fotbollsplanen.,,1,3,,,Lekparken vid fotbollsplanen. (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=82pM9wShqd1QQK0VYC25xQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=270.12415&pitch=0&thumbfov=100,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Langkarrsvagen 47,Taby,
ChIJVe9MSL7zT0YRJnZuOmj6FJU,Lekplats - Daniel Petterssons gata,,3,5,http://www.brfnorraguldheden.se/,,Lekplats - Daniel Petterssons gata (agare),https://lh3.ggpht.com/p/AC9h4nqpJ0FV4emDEMmFofFLvNtTrnhBra_Fry6EF1vNHWF_ah2XrUIEYZVTlWOOxkrFClxFpLt31vfN1sQ9dPhl1Y2Lpuwqo7aJc-BI2CpO24hoF_kGUmgWPMkU4Ibi6gcN8P_YGE1FDA=s1024,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Daniel Petterssons gata 3A,Goteborg,
ChIJ3dIw1nCbZEYRuG09ff0Uwv8,Lekplats - Domkyrkoparken,,0,0,,,Lekplats - Domkyrkoparken (agare),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2CShxbTkWMf-9Ij1lA4Mag&cb_client=search.gws-prod.gps&w=408&h=240&yaw=4.5998106&pitch=0&thumbfov=100,Lekplats,Open All Days,871 31 Harnosand,Harnosand,
ChIJaV_DPmINX0YRjoWju7wlIUI,Lekplats - Lampan,,1,1,,,Lekplats - Lampan (agare),https://lh3.ggpht.com/p/AC9h4npbKHUufnDt13gub4Ahk2XdLjp00N6cdtwUFM1KL5fNVA6sa87Vg0fvkaRyUUToEPhcEswn4f_Hj75vRhJv1wdovzeN9gs9t-XWU6-PpBNlKHYat4FhYFVcg-z9XtBRMb1Y85n7pw=s1024,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",Storgatan 32,Sodertalje,
ChIJCyJyxIZ-Z0YRAegIJJNuFQ0,Lekplats - Liljekvistiska Parken,,4,4.5,,,Lekplats - Liljekvistiska Parken (agare),https://lh3.ggpht.com/p/AC9h4nqnaguB7bDy9XZXjQrnuB8vhluqPu2mCdn5GljWm0v6EiXd9kOn5-SD3leBgd71W6kyH2Sq1Si6ZmfypNCYDE23d0sGz6N4h_z4wkmxIAz479Q3grMouoWRVHQuho3UNAOm8wa5MQ=s1024,Lekplats,"mandag, tisdag, onsdag, torsdag, fredag, lordag, sondag",784 33 Borlange,Borlange,
